Pavarde                  Vardas                   Galutinis (Vid.)Galutinis (Med.)
Vardas419                Pavarde419               5.92           6.00           
Vardas732                Pavarde732               5.92           5.60           
Vardas771                Pavarde771               5.92           6.00           
Vardas1429               Pavarde1429              5.92           6.00           
Vardas1450               Pavarde1450              5.92           6.00           
Vardas1674               Pavarde1674              5.92           6.40           
Vardas1700               Pavarde1700              5.92           5.60           
Vardas2297               Pavarde2297              5.92           5.60           
Vardas2625               Pavarde2625              5.92           6.00           
Vardas2811               Pavarde2811              5.92           6.00           
Vardas3298               Pavarde3298              5.92           6.00           
Vardas3561               Pavarde3561              5.92           6.00           
Vardas4114               Pavarde4114              5.92           5.60           
Vardas4161               Pavarde4161              5.92           6.40           
Vardas4224               Pavarde4224              5.92           6.40           
Vardas4599               Pavarde4599              5.92           6.00           
Vardas4708               Pavarde4708              5.92           5.60           
Vardas4781               Pavarde4781              5.92           6.00           
Vardas4954               Pavarde4954              5.92           6.00           
Vardas5122               Pavarde5122              5.92           6.00           
Vardas5342               Pavarde5342              5.92           6.00           
Vardas6009               Pavarde6009              5.92           5.60           
Vardas6049               Pavarde6049              5.92           6.00           
Vardas6120               Pavarde6120              5.92           6.00           
Vardas6315               Pavarde6315              5.92           6.00           
Vardas6370               Pavarde6370              5.92           6.40           
Vardas6421               Pavarde6421              5.92           6.00           
Vardas6444               Pavarde6444              5.92           5.60           
Vardas7558               Pavarde7558              5.92           6.00           
Vardas8036               Pavarde8036              5.92           6.00           
Vardas8050               Pavarde8050              5.92           6.00           
Vardas8080               Pavarde8080              5.92           6.40           
Vardas8226               Pavarde8226              5.92           6.00           
Vardas8430               Pavarde8430              5.92           5.60           
Vardas8657               Pavarde8657              5.92           6.00           
Vardas2406               Pavarde2406              5.93           5.80           
Vardas2724               Pavarde2724              5.93           5.80           
Vardas4058               Pavarde4058              5.93           5.80           
Vardas4823               Pavarde4823              5.93           5.80           
Vardas5029               Pavarde5029              5.93           5.80           
Vardas5547               Pavarde5547              5.93           5.80           
Vardas6336               Pavarde6336              5.93           5.80           
Vardas6359               Pavarde6359              5.93           6.60           
Vardas7603               Pavarde7603              5.93           5.80           
Vardas9040               Pavarde9040              5.93           5.80           
Vardas9684               Pavarde9684              5.93           5.80           
Vardas9845               Pavarde9845              5.93           5.80           
Vardas9869               Pavarde9869              5.93           6.20           
Vardas60                 Pavarde60                5.95           6.00           
Vardas103                Pavarde103               5.95           6.00           
Vardas683                Pavarde683               5.95           6.00           
Vardas750                Pavarde750               5.95           6.00           
Vardas901                Pavarde901               5.95           5.60           
Vardas1729               Pavarde1729              5.95           6.00           
Vardas1866               Pavarde1866              5.95           6.00           
Vardas2863               Pavarde2863              5.95           6.40           
Vardas2867               Pavarde2867              5.95           6.40           
Vardas3134               Pavarde3134              5.95           6.00           
Vardas3494               Pavarde3494              5.95           6.00           
Vardas4381               Pavarde4381              5.95           5.60           
Vardas4410               Pavarde4410              5.95           6.80           
Vardas4607               Pavarde4607              5.95           6.00           
Vardas5309               Pavarde5309              5.95           5.60           
Vardas5333               Pavarde5333              5.95           6.00           
Vardas5489               Pavarde5489              5.95           6.40           
Vardas6150               Pavarde6150              5.95           6.00           
Vardas6284               Pavarde6284              5.95           6.00           
Vardas6319               Pavarde6319              5.95           5.60           
Vardas6631               Pavarde6631              5.95           6.00           
Vardas7039               Pavarde7039              5.95           6.00           
Vardas7133               Pavarde7133              5.95           5.20           
Vardas7644               Pavarde7644              5.95           6.00           
Vardas7646               Pavarde7646              5.95           5.60           
Vardas8570               Pavarde8570              5.95           6.00           
Vardas8760               Pavarde8760              5.95           6.00           
Vardas9056               Pavarde9056              5.95           6.00           
Vardas9380               Pavarde9380              5.95           6.40           
Vardas9709               Pavarde9709              5.95           6.40           
Vardas9721               Pavarde9721              5.95           6.00           
Vardas9738               Pavarde9738              5.95           6.00           
Vardas106                Pavarde106               5.96           6.20           
Vardas109                Pavarde109               5.96           5.80           
Vardas885                Pavarde885               5.96           5.40           
Vardas1732               Pavarde1732              5.96           5.80           
Vardas4752               Pavarde4752              5.96           5.80           
Vardas7137               Pavarde7137              5.96           5.80           
Vardas8394               Pavarde8394              5.96           6.20           
Vardas8431               Pavarde8431              5.96           5.80           
Vardas9871               Pavarde9871              5.96           5.80           
Vardas9901               Pavarde9901              5.96           5.80           
Vardas66                 Pavarde66                5.97           5.60           
Vardas193                Pavarde193               5.97           6.00           
Vardas376                Pavarde376               5.97           6.40           
Vardas821                Pavarde821               5.97           6.00           
Vardas947                Pavarde947               5.97           6.40           
Vardas948                Pavarde948               5.97           6.00           
Vardas1265               Pavarde1265              5.97           6.00           
Vardas1283               Pavarde1283              5.97           6.00           
Vardas1427               Pavarde1427              5.97           6.40           
Vardas2005               Pavarde2005              5.97           6.00           
Vardas2663               Pavarde2663              5.97           6.00           
Vardas2902               Pavarde2902              5.97           6.00           
Vardas3234               Pavarde3234              5.97           6.00           
Vardas3423               Pavarde3423              5.97           6.00           
Vardas3717               Pavarde3717              5.97           6.00           
Vardas4054               Pavarde4054              5.97           6.40           
Vardas4533               Pavarde4533              5.97           6.00           
Vardas4641               Pavarde4641              5.97           6.00           
Vardas4915               Pavarde4915              5.97           6.40           
Vardas5114               Pavarde5114              5.97           6.00           
Vardas5355               Pavarde5355              5.97           5.60           
Vardas5741               Pavarde5741              5.97           6.40           
Vardas6025               Pavarde6025              5.97           6.00           
Vardas6141               Pavarde6141              5.97           6.00           
Vardas6254               Pavarde6254              5.97           6.00           
Vardas6831               Pavarde6831              5.97           6.00           
Vardas7090               Pavarde7090              5.97           5.60           
Vardas7381               Pavarde7381              5.97           6.40           
Vardas7793               Pavarde7793              5.97           5.60           
Vardas8255               Pavarde8255              5.97           6.00           
Vardas8268               Pavarde8268              5.97           6.00           
Vardas8340               Pavarde8340              5.97           6.00           
Vardas8362               Pavarde8362              5.97           6.40           
Vardas8903               Pavarde8903              5.97           6.00           
Vardas9838               Pavarde9838              5.97           6.00           
Vardas1660               Pavarde1660              5.99           6.20           
Vardas1638               Pavarde1638              5.99           5.80           
Vardas1698               Pavarde1698              5.99           5.80           
Vardas4384               Pavarde4384              5.99           5.80           
Vardas5199               Pavarde5199              5.99           5.80           
Vardas5609               Pavarde5609              5.99           5.40           
Vardas5726               Pavarde5726              5.99           5.80           
Vardas7738               Pavarde7738              5.99           5.80           
Vardas8113               Pavarde8113              5.99           5.80           
Vardas8462               Pavarde8462              5.99           5.40           
Vardas417                Pavarde417               6.00           6.80           
Vardas474                Pavarde474               6.00           6.00           
Vardas769                Pavarde769               6.00           6.00           
Vardas822                Pavarde822               6.00           5.60           
Vardas1045               Pavarde1045              6.00           6.40           
Vardas1292               Pavarde1292              6.00           6.40           
Vardas1758               Pavarde1758              6.00           6.00           
Vardas1958               Pavarde1958              6.00           6.40           
Vardas2266               Pavarde2266              6.00           6.00           
Vardas2851               Pavarde2851              6.00           6.00           
Vardas3617               Pavarde3617              6.00           6.40           
Vardas3670               Pavarde3670              6.00           6.00           
Vardas4390               Pavarde4390              6.00           6.00           
Vardas4897               Pavarde4897              6.00           6.00           
Vardas5663               Pavarde5663              6.00           6.00           
Vardas5819               Pavarde5819              6.00           6.40           
Vardas6085               Pavarde6085              6.00           6.40           
Vardas6234               Pavarde6234              6.00           6.00           
Vardas6361               Pavarde6361              6.00           6.00           
Vardas6912               Pavarde6912              6.00           6.00           
Vardas7709               Pavarde7709              6.00           6.00           
Vardas7778               Pavarde7778              6.00           6.40           
Vardas8629               Pavarde8629              6.00           6.00           
Vardas8739               Pavarde8739              6.00           6.40           
Vardas8826               Pavarde8826              6.00           6.00           
Vardas9045               Pavarde9045              6.00           6.40           
Vardas9132               Pavarde9132              6.00           6.00           
Vardas9145               Pavarde9145              6.00           6.00           
Vardas9322               Pavarde9322              6.00           6.00           
Vardas9486               Pavarde9486              6.00           6.00           
Vardas9563               Pavarde9563              6.00           6.00           
Vardas9579               Pavarde9579              6.00           6.00           
Vardas124                Pavarde124               6.01           5.80           
Vardas342                Pavarde342               6.01           5.40           
Vardas2846               Pavarde2846              6.01           5.80           
Vardas2998               Pavarde2998              6.01           6.20           
Vardas4223               Pavarde4223              6.01           5.80           
Vardas4431               Pavarde4431              6.01           5.40           
Vardas4436               Pavarde4436              6.01           5.80           
Vardas5428               Pavarde5428              6.01           5.80           
Vardas5749               Pavarde5749              6.01           5.80           
Vardas6828               Pavarde6828              6.01           5.40           
Vardas7253               Pavarde7253              6.01           5.80           
Vardas7369               Pavarde7369              6.01           6.20           
Vardas7934               Pavarde7934              6.01           5.80           
Vardas8352               Pavarde8352              6.01           6.20           
Vardas8420               Pavarde8420              6.01           5.80           
Vardas8587               Pavarde8587              6.01           5.80           
Vardas8677               Pavarde8677              6.01           5.40           
Vardas9461               Pavarde9461              6.01           5.80           
Vardas9562               Pavarde9562              6.01           6.20           
Vardas9994               Pavarde9994              6.01           5.80           
Vardas252                Pavarde252               6.03           6.40           
Vardas501                Pavarde501               6.03           6.40           
Vardas792                Pavarde792               6.03           6.00           
Vardas973                Pavarde973               6.03           6.40           
Vardas1567               Pavarde1567              6.03           6.00           
Vardas1658               Pavarde1658              6.03           6.40           
Vardas1805               Pavarde1805              6.03           6.40           
Vardas2455               Pavarde2455              6.03           6.80           
Vardas3150               Pavarde3150              6.03           6.40           
Vardas3284               Pavarde3284              6.03           6.40           
Vardas3479               Pavarde3479              6.03           6.00           
Vardas3621               Pavarde3621              6.03           6.00           
Vardas3665               Pavarde3665              6.03           6.00           
Vardas4325               Pavarde4325              6.03           6.40           
Vardas4512               Pavarde4512              6.03           6.00           
Vardas4642               Pavarde4642              6.03           6.40           
Vardas5052               Pavarde5052              6.03           6.00           
Vardas5138               Pavarde5138              6.03           6.00           
Vardas5549               Pavarde5549              6.03           6.40           
Vardas5563               Pavarde5563              6.03           6.40           
Vardas5681               Pavarde5681              6.03           5.60           
Vardas5978               Pavarde5978              6.03           6.40           
Vardas6039               Pavarde6039              6.03           6.00           
Vardas6134               Pavarde6134              6.03           6.40           
Vardas8094               Pavarde8094              6.03           6.40           
Vardas8168               Pavarde8168              6.03           6.00           
Vardas8439               Pavarde8439              6.03           6.40           
Vardas8611               Pavarde8611              6.03           6.40           
Vardas8758               Pavarde8758              6.03           6.00           
Vardas8991               Pavarde8991              6.03           6.00           
Vardas9517               Pavarde9517              6.03           6.00           
Vardas9605               Pavarde9605              6.03           6.00           
Vardas9817               Pavarde9817              6.03           5.60           
Vardas13                 Pavarde13                6.04           5.40           
Vardas24                 Pavarde24                6.04           5.80           
Vardas120                Pavarde120               6.04           6.20           
Vardas634                Pavarde634               6.04           6.20           
Vardas706                Pavarde706               6.04           5.40           
Vardas1169               Pavarde1169              6.04           5.80           
Vardas1228               Pavarde1228              6.04           6.20           
Vardas1631               Pavarde1631              6.04           5.80           
Vardas2219               Pavarde2219              6.04           5.80           
Vardas2401               Pavarde2401              6.04           6.20           
Vardas2678               Pavarde2678              6.04           6.60           
Vardas3388               Pavarde3388              6.04           5.80           
Vardas3858               Pavarde3858              6.04           5.80           
Vardas4798               Pavarde4798              6.04           5.80           
Vardas5164               Pavarde5164              6.04           5.80           
Vardas5320               Pavarde5320              6.04           6.20           
Vardas5398               Pavarde5398              6.04           5.40           
Vardas5418               Pavarde5418              6.04           5.80           
Vardas6811               Pavarde6811              6.04           5.80           
Vardas7077               Pavarde7077              6.04           5.80           
Vardas7246               Pavarde7246              6.04           5.80           
Vardas8426               Pavarde8426              6.04           5.80           
Vardas8616               Pavarde8616              6.04           6.20           
Vardas9173               Pavarde9173              6.04           5.80           
Vardas9290               Pavarde9290              6.04           5.80           
Vardas9337               Pavarde9337              6.04           6.20           
Vardas551                Pavarde551               6.05           6.00           
Vardas1025               Pavarde1025              6.05           6.40           
Vardas1264               Pavarde1264              6.05           6.40           
Vardas2074               Pavarde2074              6.05           6.40           
Vardas2112               Pavarde2112              6.05           6.00           
Vardas2532               Pavarde2532              6.05           6.40           
Vardas2996               Pavarde2996              6.05           6.00           
Vardas3021               Pavarde3021              6.05           5.60           
Vardas3331               Pavarde3331              6.05           6.00           
Vardas4061               Pavarde4061              6.05           6.00           
Vardas4171               Pavarde4171              6.05           6.40           
Vardas4581               Pavarde4581              6.05           6.40           
Vardas4816               Pavarde4816              6.05           6.40           
Vardas5068               Pavarde5068              6.05           6.00           
Vardas5206               Pavarde5206              6.05           6.40           
Vardas5389               Pavarde5389              6.05           6.00           
Vardas5754               Pavarde5754              6.05           6.00           
Vardas6253               Pavarde6253              6.05           6.00           
Vardas6753               Pavarde6753              6.05           6.00           
Vardas7220               Pavarde7220              6.05           6.00           
Vardas7278               Pavarde7278              6.05           6.00           
Vardas7287               Pavarde7287              6.05           6.40           
Vardas8031               Pavarde8031              6.05           6.40           
Vardas8070               Pavarde8070              6.05           5.60           
Vardas8207               Pavarde8207              6.05           6.00           
Vardas9029               Pavarde9029              6.05           6.40           
Vardas1370               Pavarde1370              6.07           5.80           
Vardas1421               Pavarde1421              6.07           5.80           
Vardas1613               Pavarde1613              6.07           5.80           
Vardas1860               Pavarde1860              6.07           6.20           
Vardas2044               Pavarde2044              6.07           5.80           
Vardas2228               Pavarde2228              6.07           6.20           
Vardas2293               Pavarde2293              6.07           5.80           
Vardas2561               Pavarde2561              6.07           6.20           
Vardas2981               Pavarde2981              6.07           6.20           
Vardas3478               Pavarde3478              6.07           6.20           
Vardas4330               Pavarde4330              6.07           6.20           
Vardas5554               Pavarde5554              6.07           6.20           
Vardas6001               Pavarde6001              6.07           5.80           
Vardas6522               Pavarde6522              6.07           6.20           
Vardas6748               Pavarde6748              6.07           5.80           
Vardas7520               Pavarde7520              6.07           5.40           
Vardas7902               Pavarde7902              6.07           6.20           
Vardas8145               Pavarde8145              6.07           5.80           
Vardas8358               Pavarde8358              6.07           6.20           
Vardas9005               Pavarde9005              6.07           5.80           
Vardas9421               Pavarde9421              6.07           5.80           
Vardas9515               Pavarde9515              6.07           5.80           
Vardas9711               Pavarde9711              6.07           5.80           
Vardas9936               Pavarde9936              6.07           5.80           
Vardas401                Pavarde401               6.08           6.00           
Vardas982                Pavarde982               6.08           6.00           
Vardas1100               Pavarde1100              6.08           6.40           
Vardas1808               Pavarde1808              6.08           6.00           
Vardas2265               Pavarde2265              6.08           6.40           
Vardas2497               Pavarde2497              6.08           6.00           
Vardas3820               Pavarde3820              6.08           6.00           
Vardas5353               Pavarde5353              6.08           6.00           
Vardas5580               Pavarde5580              6.08           6.00           
Vardas5811               Pavarde5811              6.08           6.00           
Vardas6420               Pavarde6420              6.08           6.00           
Vardas6877               Pavarde6877              6.08           6.40           
Vardas7269               Pavarde7269              6.08           6.00           
Vardas7545               Pavarde7545              6.08           6.00           
Vardas7862               Pavarde7862              6.08           6.40           
Vardas8517               Pavarde8517              6.08           6.40           
Vardas9103               Pavarde9103              6.08           6.00           
Vardas399                Pavarde399               6.09           6.20           
Vardas1806               Pavarde1806              6.09           6.20           
Vardas2278               Pavarde2278              6.09           5.80           
Vardas2541               Pavarde2541              6.09           5.80           
Vardas2692               Pavarde2692              6.09           5.80           
Vardas3060               Pavarde3060              6.09           5.80           
Vardas4813               Pavarde4813              6.09           5.80           
Vardas4892               Pavarde4892              6.09           5.80           
Vardas6681               Pavarde6681              6.09           6.20           
Vardas7080               Pavarde7080              6.09           6.20           
Vardas7184               Pavarde7184              6.09           6.20           
Vardas7286               Pavarde7286              6.09           6.20           
Vardas7773               Pavarde7773              6.09           5.80           
Vardas7914               Pavarde7914              6.09           5.80           
Vardas8580               Pavarde8580              6.09           5.80           
Vardas9302               Pavarde9302              6.09           5.80           
Vardas9941               Pavarde9941              6.09           6.20           
Vardas858                Pavarde858               6.11           6.40           
Vardas972                Pavarde972               6.11           6.00           
Vardas1023               Pavarde1023              6.11           6.40           
Vardas1545               Pavarde1545              6.11           6.00           
Vardas1673               Pavarde1673              6.11           6.40           
Vardas1683               Pavarde1683              6.11           6.00           
Vardas1817               Pavarde1817              6.11           6.00           
Vardas2757               Pavarde2757              6.11           6.40           
Vardas3183               Pavarde3183              6.11           6.40           
Vardas4099               Pavarde4099              6.11           6.40           
Vardas4124               Pavarde4124              6.11           6.40           
Vardas4211               Pavarde4211              6.11           6.00           
Vardas4524               Pavarde4524              6.11           6.00           
Vardas4807               Pavarde4807              6.11           6.80           
Vardas5237               Pavarde5237              6.11           6.40           
Vardas5325               Pavarde5325              6.11           6.40           
Vardas5422               Pavarde5422              6.11           6.00           
Vardas5450               Pavarde5450              6.11           6.00           
Vardas6606               Pavarde6606              6.11           6.00           
Vardas6924               Pavarde6924              6.11           6.40           
Vardas7228               Pavarde7228              6.11           6.40           
Vardas8842               Pavarde8842              6.11           6.40           
Vardas9127               Pavarde9127              6.11           6.40           
Vardas9315               Pavarde9315              6.11           6.40           
Vardas9806               Pavarde9806              6.11           6.40           
Vardas276                Pavarde276               6.12           5.80           
Vardas660                Pavarde660               6.12           6.20           
Vardas688                Pavarde688               6.12           6.20           
Vardas785                Pavarde785               6.12           5.80           
Vardas1957               Pavarde1957              6.12           6.20           
Vardas2165               Pavarde2165              6.12           6.60           
Vardas3715               Pavarde3715              6.12           6.20           
Vardas3804               Pavarde3804              6.12           6.20           
Vardas5530               Pavarde5530              6.12           5.80           
Vardas5770               Pavarde5770              6.12           6.20           
Vardas6064               Pavarde6064              6.12           6.20           
Vardas6088               Pavarde6088              6.12           5.80           
Vardas6386               Pavarde6386              6.12           6.20           
Vardas6871               Pavarde6871              6.12           5.80           
Vardas7035               Pavarde7035              6.12           6.20           
Vardas7112               Pavarde7112              6.12           6.20           
Vardas7655               Pavarde7655              6.12           6.20           
Vardas7742               Pavarde7742              6.12           5.80           
Vardas7944               Pavarde7944              6.12           6.20           
Vardas8536               Pavarde8536              6.12           6.20           
Vardas9396               Pavarde9396              6.12           6.20           
Vardas1177               Pavarde1177              6.13           6.40           
Vardas1562               Pavarde1562              6.13           6.40           
Vardas1793               Pavarde1793              6.13           6.40           
Vardas2029               Pavarde2029              6.13           6.40           
Vardas2305               Pavarde2305              6.13           6.40           
Vardas2839               Pavarde2839              6.13           6.40           
Vardas3358               Pavarde3358              6.13           6.00           
Vardas4106               Pavarde4106              6.13           6.40           
Vardas4657               Pavarde4657              6.13           6.40           
Vardas4732               Pavarde4732              6.13           6.00           
Vardas5202               Pavarde5202              6.13           6.80           
Vardas5391               Pavarde5391              6.13           6.00           
Vardas6597               Pavarde6597              6.13           6.40           
Vardas6732               Pavarde6732              6.13           6.00           
Vardas6813               Pavarde6813              6.13           6.80           
Vardas6837               Pavarde6837              6.13           6.00           
Vardas8258               Pavarde8258              6.13           6.80           
Vardas8541               Pavarde8541              6.13           6.40           
Vardas8581               Pavarde8581              6.13           6.00           
Vardas9293               Pavarde9293              6.13           6.40           
Vardas9505               Pavarde9505              6.13           6.00           
Vardas2                  Pavarde2                 6.15           6.20           
Vardas994                Pavarde994               6.15           5.80           
Vardas1855               Pavarde1855              6.15           6.20           
Vardas2413               Pavarde2413              6.15           5.80           
Vardas2586               Pavarde2586              6.15           6.20           
Vardas2825               Pavarde2825              6.15           6.20           
Vardas3628               Pavarde3628              6.15           6.20           
Vardas3854               Pavarde3854              6.15           5.40           
Vardas4007               Pavarde4007              6.15           5.80           
Vardas4876               Pavarde4876              6.15           6.20           
Vardas5166               Pavarde5166              6.15           6.20           
Vardas5167               Pavarde5167              6.15           6.20           
Vardas5194               Pavarde5194              6.15           6.20           
Vardas5763               Pavarde5763              6.15           5.40           
Vardas5796               Pavarde5796              6.15           5.80           
Vardas6080               Pavarde6080              6.15           6.20           
Vardas6274               Pavarde6274              6.15           6.20           
Vardas6381               Pavarde6381              6.15           6.20           
Vardas6437               Pavarde6437              6.15           6.20           
Vardas6981               Pavarde6981              6.15           6.20           
Vardas7010               Pavarde7010              6.15           5.80           
Vardas7082               Pavarde7082              6.15           6.20           
Vardas7776               Pavarde7776              6.15           6.20           
Vardas8046               Pavarde8046              6.15           6.20           
Vardas8196               Pavarde8196              6.15           5.80           
Vardas8684               Pavarde8684              6.15           6.60           
Vardas9487               Pavarde9487              6.15           6.20           
Vardas9818               Pavarde9818              6.15           6.20           
Vardas9909               Pavarde9909              6.15           6.20           
Vardas709                Pavarde709               6.16           6.40           
Vardas1583               Pavarde1583              6.16           6.40           
Vardas2717               Pavarde2717              6.16           6.40           
Vardas3266               Pavarde3266              6.16           6.00           
Vardas4024               Pavarde4024              6.16           6.00           
Vardas4452               Pavarde4452              6.16           6.00           
Vardas5911               Pavarde5911              6.16           5.60           
Vardas6065               Pavarde6065              6.16           6.80           
Vardas6909               Pavarde6909              6.16           6.40           
Vardas7223               Pavarde7223              6.16           6.40           
Vardas7445               Pavarde7445              6.16           6.40           
Vardas8501               Pavarde8501              6.16           6.40           
Vardas8546               Pavarde8546              6.16           6.40           
Vardas8670               Pavarde8670              6.16           6.80           
Vardas9009               Pavarde9009              6.16           6.40           
Vardas435                Pavarde435               6.17           5.40           
Vardas517                Pavarde517               6.17           5.80           
Vardas766                Pavarde766               6.17           6.60           
Vardas1362               Pavarde1362              6.17           6.60           
Vardas1420               Pavarde1420              6.17           6.20           
Vardas2198               Pavarde2198              6.17           6.20           
Vardas2355               Pavarde2355              6.17           5.80           
Vardas2824               Pavarde2824              6.17           5.80           
Vardas3015               Pavarde3015              6.17           6.20           
Vardas3138               Pavarde3138              6.17           6.20           
Vardas3145               Pavarde3145              6.17           6.20           
Vardas4050               Pavarde4050              6.17           5.80           
Vardas5022               Pavarde5022              6.17           6.20           
Vardas5431               Pavarde5431              6.17           5.80           
Vardas5518               Pavarde5518              6.17           6.20           
Vardas5646               Pavarde5646              6.17           6.20           
Vardas5657               Pavarde5657              6.17           6.20           
Vardas5712               Pavarde5712              6.17           5.80           
Vardas5753               Pavarde5753              6.17           6.20           
Vardas6288               Pavarde6288              6.17           6.20           
Vardas6594               Pavarde6594              6.17           6.20           
Vardas6667               Pavarde6667              6.17           6.20           
Vardas6746               Pavarde6746              6.17           6.20           
Vardas6780               Pavarde6780              6.17           6.20           
Vardas7506               Pavarde7506              6.17           6.20           
Vardas7886               Pavarde7886              6.17           6.60           
Vardas8069               Pavarde8069              6.17           5.80           
Vardas8599               Pavarde8599              6.17           6.20           
Vardas8610               Pavarde8610              6.17           6.20           
Vardas8835               Pavarde8835              6.17           6.20           
Vardas8954               Pavarde8954              6.17           5.80           
Vardas9057               Pavarde9057              6.17           5.80           
Vardas9682               Pavarde9682              6.17           5.80           
Vardas9896               Pavarde9896              6.17           5.80           
Vardas9978               Pavarde9978              6.17           6.20           
Vardas527                Pavarde527               6.19           6.40           
Vardas1060               Pavarde1060              6.19           5.60           
Vardas1107               Pavarde1107              6.19           6.40           
Vardas1136               Pavarde1136              6.19           6.40           
Vardas1345               Pavarde1345              6.19           6.00           
Vardas2025               Pavarde2025              6.19           6.00           
Vardas2158               Pavarde2158              6.19           6.00           
Vardas2169               Pavarde2169              6.19           6.80           
Vardas2409               Pavarde2409              6.19           6.40           
Vardas3262               Pavarde3262              6.19           6.40           
Vardas4535               Pavarde4535              6.19           6.40           
Vardas4659               Pavarde4659              6.19           6.40           
Vardas4933               Pavarde4933              6.19           6.00           
Vardas5049               Pavarde5049              6.19           6.40           
Vardas6053               Pavarde6053              6.19           6.80           
Vardas6750               Pavarde6750              6.19           6.00           
Vardas8488               Pavarde8488              6.19           6.40           
Vardas8799               Pavarde8799              6.19           6.00           
Vardas862                Pavarde862               6.20           5.80           
Vardas1493               Pavarde1493              6.20           6.20           
Vardas2047               Pavarde2047              6.20           5.80           
Vardas4962               Pavarde4962              6.20           6.20           
Vardas5039               Pavarde5039              6.20           6.20           
Vardas5550               Pavarde5550              6.20           6.60           
Vardas5555               Pavarde5555              6.20           5.80           
Vardas5699               Pavarde5699              6.20           5.80           
Vardas6802               Pavarde6802              6.20           6.20           
Vardas6876               Pavarde6876              6.20           5.80           
Vardas7275               Pavarde7275              6.20           6.20           
Vardas7985               Pavarde7985              6.20           5.80           
Vardas8128               Pavarde8128              6.20           5.80           
Vardas9180               Pavarde9180              6.20           6.20           
Vardas9740               Pavarde9740              6.20           6.60           
Vardas908                Pavarde908               6.21           6.40           
Vardas1483               Pavarde1483              6.21           6.40           
Vardas1521               Pavarde1521              6.21           6.40           
Vardas1734               Pavarde1734              6.21           6.40           
Vardas1912               Pavarde1912              6.21           6.40           
Vardas1996               Pavarde1996              6.21           6.40           
Vardas2229               Pavarde2229              6.21           6.80           
Vardas4079               Pavarde4079              6.21           6.40           
Vardas6383               Pavarde6383              6.21           6.00           
Vardas6415               Pavarde6415              6.21           6.40           
Vardas6843               Pavarde6843              6.21           6.40           
Vardas7530               Pavarde7530              6.21           6.40           
Vardas9020               Pavarde9020              6.21           6.00           
Vardas288                Pavarde288               6.23           6.20           
Vardas522                Pavarde522               6.23           6.60           
Vardas846                Pavarde846               6.23           6.20           
Vardas1451               Pavarde1451              6.23           6.60           
Vardas1636               Pavarde1636              6.23           6.20           
Vardas1841               Pavarde1841              6.23           5.80           
Vardas1897               Pavarde1897              6.23           6.60           
Vardas1923               Pavarde1923              6.23           6.20           
Vardas2033               Pavarde2033              6.23           6.60           
Vardas2250               Pavarde2250              6.23           6.20           
Vardas2620               Pavarde2620              6.23           6.20           
Vardas2767               Pavarde2767              6.23           6.20           
Vardas2843               Pavarde2843              6.23           6.20           
Vardas2856               Pavarde2856              6.23           6.20           
Vardas3215               Pavarde3215              6.23           6.20           
Vardas3593               Pavarde3593              6.23           6.20           
Vardas3720               Pavarde3720              6.23           6.20           
Vardas3865               Pavarde3865              6.23           5.80           
Vardas4293               Pavarde4293              6.23           6.60           
Vardas4509               Pavarde4509              6.23           6.20           
Vardas5024               Pavarde5024              6.23           6.60           
Vardas5460               Pavarde5460              6.23           6.20           
Vardas5473               Pavarde5473              6.23           5.80           
Vardas5671               Pavarde5671              6.23           6.20           
Vardas5958               Pavarde5958              6.23           6.60           
Vardas6647               Pavarde6647              6.23           6.20           
Vardas6715               Pavarde6715              6.23           6.20           
Vardas6902               Pavarde6902              6.23           6.20           
Vardas7191               Pavarde7191              6.23           6.20           
Vardas7242               Pavarde7242              6.23           6.20           
Vardas7681               Pavarde7681              6.23           6.20           
Vardas7750               Pavarde7750              6.23           5.80           
Vardas7849               Pavarde7849              6.23           6.20           
Vardas7918               Pavarde7918              6.23           5.80           
